StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q39,Q40,Q41,Q42,Q43,Check1_1,Check1_2,Check1_3,Check1_4,DT_Ball_A_1,DT_Ball_B_1,DT_Conjunctive_1,Both_Thru_DT,DB_Ball_A_1,DB_Ball_B_1,DB_Conjunctive_1,Both_Thru_DB,A_DarkTop_Left_1,A_DarkTop_Right_1,B_DarkTop_Left_1,B_DarkTop_Right_1,Check2_1,Check2_2,Check2_3,Check2_4,Feedback,Age,Age_1_TEXT,Gender,Race,Race_1_TEXT,Ethnicity,LearnCondition,Condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Are you a bot?

 

Liam says to Emma: ""It's a beautiful day, isn't it?""
 

Who is Liam talking to? (case sensitive)","Are you a bot?

 

Mia says to Benjamin: ""It's a beautiful day, isn't it?""
 

Who is Mia talking to? (case sensitive)","Are you a bot?

 

William says to Ava: ""It's a beautiful day, isn't it?""
 

Who is William talking to? (case sensitive)","Are you a bot?

 

Amelia says to Noah: ""It's a beautiful day, isn't it?""
 

Who is Amelia talking to? (case sensitive)","Are you a bot?

 

Evelyn says to James: ""It's a beautiful day, isn't it?""
 

Who is Evelyn talking to? (case sensitive)","Please answer the following questions:

 

If both balls go through the motion block and hit ball E, ball E will go through the gate.","If only one of the balls goes through the motion block and hits ball E, ball E will go through the g",Which motion block is more likely to block a ball?,Are the dark red and the light red motion block at fixed positions (i.e. top and bottom) in the billiard machine?,"How much do you agree with the following statements?



 ""Ball A will hit Ball E"".","""Ball B will hit Ball E"".","""If only one of the two balls goes through the block and hits Ball E then ball E will go through the gate.""",Which of the following statements better describes what has happened in this situation?,"How much do you agree with the following statements?

 

 ""Ball A will hit Ball E"".","""Ball B will hit Ball E"".","""If only one of the two balls goes through the block and hits Ball E then ball E will go through the gate.""",Which of the following statements better describes what has happened in this situation?,"Given Ben's decision, which of these two scenes did he see?","Given Ben's decision, which of these two scenes did he see?","Given Ben's decision, which of these two scenes did he see?","Given Ben's decision, which of these two scenes did he see?","Please answer the following questions:

 

If both balls go through the gate and hit ball E, ball E will go through the gate.","If only one of the balls goes through the gate and hits ball E, ball E will go through the gate.",Which motion block is more likely to let a ball go through?,Are the dark red and the light red motion block at fixed positions (i.e. top and bottom) in the billiard machine?,"Thank you for answering these questions. 

 

What factors influenced your decision about which of the two scenes was more likely? Do you have any other comments about the experiment?","Please provide the following demographic information to complete the study. 
 

1. My age is: - Selected Choice","Please provide the following demographic information to complete the study. 
 

1. My age is: - My age in years is - Text",2. Gender,3. Race - Selected Choice,3. Race - I am - Text,Ethnicity,LearnCondition,Condition
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""QID63_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID95""}","{""ImportId"":""QID118_1""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID120_1""}","{""ImportId"":""QID122""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID110_1""}","{""ImportId"":""QID106_1""}","{""ImportId"":""QID31""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID96""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID41_1_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID43_1_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""LearnCondition""}","{""ImportId"":""Condition""}"
21/05/2019 18:31,21/05/2019 18:34,Survey Preview,,100,208,TRUE,21/05/2019 18:34,R_1DGfgEaAQsXAybP,,,,,37.44430542,-122.149704,preview,EN,,Benjamin,,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",30,53,39,Ball E did go through the gate because ball B did go through the motion block.,,,,,,79,,,,,,,test test,Prefer not to say.,,Prefer not to say.,Prefer not to say.,,Prefer not to say.,1,2
21/05/2019 18:37,21/05/2019 18:38,Survey Preview,,100,41,TRUE,21/05/2019 18:38,R_31niTBjNSYd8s4S,,,,,37.44430542,-122.149704,preview,EN,Emma,,,,,FALSE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,,,,,,FALSE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,1,4
21/05/2019 18:40,21/05/2019 18:41,Survey Preview,,100,56,TRUE,21/05/2019 18:41,R_yvF9vQYccciv9aF,,,,,37.44430542,-122.149704,preview,EN,,,Ava,,,FALSE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,,,,,,FALSE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,2,1
21/05/2019 18:48,21/05/2019 18:54,IP Address,73.162.57.19,100,349,TRUE,21/05/2019 18:54,R_3RmB4mTn1JxeKWX,,,,,37.44430542,-122.149704,anonymous,EN,,Benjamin,,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,46,73,38,Ball E did go through the gate because ball A did go through the motion block.,,,,78,,,,,test test,Prefer not to say.,,Prefer not to say.,Prefer not to say.,,Prefer not to say.,2,4
21/05/2019 18:42,21/05/2019 18:55,Survey Preview,,100,793,TRUE,21/05/2019 18:55,R_2YfuTaxCB6wn2tz,,,,,37.44430542,-122.149704,preview,EN,,,,,James,TRUE,FALSE,The dark red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,22,33,23,Ball E did go through the gate because ball B did go through the motion block.,78,,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",test test,Prefer not to say.,,Prefer not to say.,Prefer not to say.,,Prefer not to say.,2,1
21/05/2019 18:55,21/05/2019 18:56,Survey Preview,,100,47,TRUE,21/05/2019 18:56,R_27jN7j3qlQkAHTr,,,,,37.44430542,-122.149704,preview,EN,,,,Noah,,FALSE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,,,,,,FALSE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,1,2
21/05/2019 18:58,21/05/2019 18:59,Survey Preview,,100,90,TRUE,21/05/2019 18:59,R_50cD3ez1b8oL5oR,,,,,37.44430542,-122.149704,preview,EN,,,,Noah,,FALSE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,54,43,73,Ball E did go through the gate because ball A did go through the motion block.,,,83,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",test test,Prefer not to say.,,Prefer not to say.,Prefer not to say.,,Prefer not to say.,2,3
21/05/2019 19:05,21/05/2019 19:07,IP Address,208.64.115.8,100,171,TRUE,21/05/2019 19:07,R_RgkWz1u5FamQq77,,,,,42.45300293,-71.14409637,anonymous,EN,,,,Noah,,TRUE,FALSE,The dark red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",80,26,0,Ball E did go through the gate because ball A did go through the motion block.,,,,,,87,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.","THe darker red, harder to get through bar's position",My age in years is,35,Male,I am,white,Hispanic,1,2
21/05/2019 19:06,21/05/2019 19:09,IP Address,73.173.103.253,100,195,TRUE,21/05/2019 19:09,R_2gFhoshREH1cPEl,,,,,39.21240234,-76.87760162,anonymous,EN,,,Ava,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",7,95,0,Ball E did go through the gate because ball A did go through the motion block.,,,,,,,,3,,,,,"The ball going through the darker block was less likely to go through so it felt like the ball going through the gate was more caused by that ball because it was kind of ""given"" that the other ball would almost always go through the other gate.",My age in years is,25,Male,I am,White,Non-Hispanic,1,4
21/05/2019 19:05,21/05/2019 19:12,IP Address,98.127.129.94,100,398,TRUE,21/05/2019 19:12,R_3MA4ks3H7CxqSuJ,,,,,46.6098938,-112.0243988,anonymous,EN,,,Ava,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",32,78,0,Ball E did go through the gate because ball A did go through the motion block.,,,,,,,,6,,,,,"Since Ben said Ball E went through the gate because Ball B went through the Motion Block."" It made the most sense to me that A had a higher chance of getting through and the outcome was dependent upon B making it through the tougher motion block. 

This was a fun experiment and I appreciate you having me participate.",My age in years is,30,Male,I am,White,Non-Hispanic,1,4
21/05/2019 19:07,21/05/2019 19:13,IP Address,192.171.19.130,100,330,TRUE,21/05/2019 19:13,R_2dzn51Sz7VCGApi,,,,,25.78059387,-80.18260193,anonymous,EN,,Benjamin,,,,TRUE,TRUE,The dark red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,FALSE,FALSE,The dark red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,2
21/05/2019 19:12,21/05/2019 19:15,IP Address,12.38.35.6,100,163,TRUE,21/05/2019 19:15,R_306te80ERP1vhWA,,,,,28.55149841,-81.30509949,anonymous,EN,,,,,James,TRUE,FALSE,The dark red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,TRUE,TRUE,The dark red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,1,3
21/05/2019 19:15,21/05/2019 19:16,IP Address,12.38.35.6,100,45,TRUE,21/05/2019 19:16,R_BsKosP8eAaOeIWR,,,,,28.55149841,-81.30509949,anonymous,EN,,Benjamin,,,,FALSE,TRUE,The dark red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,FALSE,FALSE,The dark red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,2
21/05/2019 19:16,21/05/2019 19:17,IP Address,12.38.35.6,100,93,TRUE,21/05/2019 19:17,R_3oT3MeZYL5nL6Ah,,,,,28.55149841,-81.30509949,anonymous,EN,,,,Noah,,FALSE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,69,53,52,Ball E did go through the gate because ball A did go through the motion block.,,,71,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",Great study.,My age in years is,28,Male,I am,Mixed Race (White & Black),Non-Hispanic,2,3
21/05/2019 19:15,21/05/2019 19:18,IP Address,67.189.171.219,100,208,TRUE,21/05/2019 19:18,R_2EF8DmoCztnuYpF,,,,,42.45669556,-71.37470245,anonymous,EN,,Benjamin,,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,68,28,0,Ball E did go through the gate because ball B did go through the motion block.,0,,,,,,,,I think the fact that a ball got through the harder gate means that it is the one that made E go through.,My age in years is,22,Female,I am,White,Non-Hispanic,2,1
21/05/2019 19:15,21/05/2019 19:18,IP Address,73.48.80.170,100,185,TRUE,21/05/2019 19:18,R_2Vm9gqzHebM9hWn,,,,,30.49079895,-84.31580353,anonymous,EN,,,,Noah,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",18,81,0,Ball E did go through the gate because ball A did go through the motion block.,,,,,,,82,,,,,,the percentages on the blocks,My age in years is,36,Male,I am,white,Non-Hispanic,1,3
21/05/2019 19:16,21/05/2019 19:19,IP Address,68.34.168.199,100,225,TRUE,21/05/2019 19:19,R_1cUspnOvP6tYrj7,,,,,36.8927002,-81.74019623,anonymous,EN,Emma,,,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,10,11,68,Ball E did go through the gate because ball B did go through the motion block.,43,,,,,,,,,My age in years is,32,Female,I am,white,Non-Hispanic,2,1
21/05/2019 19:16,21/05/2019 19:20,IP Address,103.89.65.54,100,272,TRUE,21/05/2019 19:20,R_AcxcNf84qhVAVvH,,,,,10.99099731,76.96670532,anonymous,EN,,,,noah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2019 19:20,21/05/2019 19:23,IP Address,73.228.117.109,100,196,TRUE,21/05/2019 19:23,R_DSNL9XxbeuNMJfX,,,,,40.65660095,-111.8907013,anonymous,EN,,,,,James,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",25,74,0,Ball E did go through the gate because ball A did go through the motion block.,,,,,,89,,,,,,,The probability of the blocks,My age in years is,26,Male,I am,white,Non-Hispanic,1,2
21/05/2019 19:24,21/05/2019 19:25,IP Address,171.49.194.16,100,51,TRUE,21/05/2019 19:25,R_3im3uaUhP73Wv8n,,,,,13.08430481,80.28048706,anonymous,EN,,,,noah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2019 19:24,21/05/2019 19:27,IP Address,67.167.227.179,100,163,TRUE,21/05/2019 19:27,R_2z6J7Jn1BhY66tL,,,,,41.7447052,-87.76989746,anonymous,EN,Emma,,,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",33,68,0,Ball E did go through the gate because ball A did go through the motion block.,,,,,0,,,,,,,,The block was what helped me decide which ball going through was more important,My age in years is,27,Male,I am,white,Non-Hispanic,1,1
21/05/2019 19:24,21/05/2019 19:28,IP Address,162.200.74.157,100,286,TRUE,21/05/2019 19:28,R_1lrQuwy8pUZ6dRn,,,,,32.769104,-96.6053009,anonymous,EN,,,,Noah,,TRUE,FALSE,The dark red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,TRUE,FALSE,The light red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,1,2
21/05/2019 19:23,21/05/2019 19:29,IP Address,98.230.96.230,100,325,TRUE,21/05/2019 19:29,R_01GkyrgMM4dtyuJ,,,,,30.49079895,-84.31580353,anonymous,EN,,Benjamin,,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",5,80,0,Ball E did go through the gate because ball A did go through the motion block.,,,,,12,,,,,,,,Based on the fact that I would expect him to be more hesitant for Ball A to make it through the dark gate.,My age in years is,27,Male,I am,white,Non-Hispanic,1,1
21/05/2019 19:26,21/05/2019 19:30,IP Address,122.174.98.68,100,239,TRUE,21/05/2019 19:30,R_2CDiqLIAvPbfyMN,,,,,13.08430481,80.28048706,anonymous,EN,,,Ava,,,TRUE,TRUE,The light red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,FALSE,TRUE,The dark red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,3
21/05/2019 19:28,21/05/2019 19:32,IP Address,98.159.196.54,100,201,TRUE,21/05/2019 19:32,R_12RxQWMyPDzFBfZ,,,,,34.61799622,-86.05619812,anonymous,EN,Emma,,,,,FALSE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",80,31,55,Ball E did go through the gate because ball B did go through the motion block.,,,,,,,,92,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",no,My age in years is,25,Male,I am,white,Non-Hispanic,1,4
21/05/2019 19:16,21/05/2019 19:32,IP Address,112.202.193.126,100,934,TRUE,21/05/2019 19:32,R_3iwKIL63PB7ofXz,,,,,14.57600403,121.0281067,anonymous,EN,,,,Noah,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",21,81,0,Ball E did go through the gate because ball A did go through the motion block.,,,,,,,,12,,,,,The positions (top or bottom) of the 2 motion blocks,My age in years is,32,Male,I am,Asian,Non-Hispanic,1,4
